,src_english,trg_french
7352,Two girls help clean a dirty house,Deux filles aident à nettoyer une maison sale
7353,Three people cleaning windows and a woman in a blue shirt talking to them.,Trois personnes nettoyant des fenêtres et une femme en T-shirt bleu discutant avec eux.
7354,A man films a group of girls in the outdoors.,Un homme filme un groupe de filles en extérieur.
7355,A fisheye lens aerially captures a young girl with dark hair on the playground.,Un objectif fisheye photographie aériennement une jeune fille aux cheveux foncés sur le terrain de jeux.
7356,An older woman and a young man play bingo.,Une femme âgée et un jeune homme jouent au bingo.
7357,"A woman holds a ""car wash"" sign on the edge of a quiet street.","Une femme tient un panneau ""lavage de voiture"" sur le bord d'une rue tranquille."
7358,A man in a brown shirt and blue shorts walking in Droney Park.,Un homme en T-shirt marron et short bleu marchant sur Droney Park.
7359,Some boys and girls are sitting down in an amusement park ride.,Des garçons et des filles sont assis dans un manège de parc d'attractions.
7360,Three children play in an outside wood structure.,Trois enfants jouent dans une structure en bois extérieure.
7361,A few men sit outside of an area with an open gate eat their lunches.,Quelques hommes sont assis à l'extérieur d'une zone avec une porte ouverte et mangent leurs déjeuners.
7362,Several kids are looking at carnival games.,Plusieurs enfants regardent des jeux de carnaval.
7363,Two girls in denim shorts stand in a puddle of water.,Deux filles en short en jean sont debout dans une flaque d'eau.
7364,Two young kids running on sand towards a large body of water.,Deux jeunes enfants courant sur le sable vers une large étendue d'eau.
7365,Two males and one female playing in a fountain of water.,Deux hommes et une femme jouant dans une fontaine d'eau.
7366,A child and floor covered in white powder.,Un enfant et un sol couverts de poudre blanche.
7367,Two people with animal print pants laying on a bed next to each other.,Deux personnes avec des pantalons à imprimé animal allongées sur un lit l'une à côté de l'autre.
7368,A dog is running through tall grass.,Un chien court dans l'herbe haute.
7369,Small dog running in the grass with a toy in its mouth,Un petit chien courant dans l'herbe avec un jouet dans sa gueule
7370,Two competing cyclists pedal past crowds of onlookers.,Deux cyclistes concurrents pédalent devant la foule de spectateurs.
7371,A man sits in front of a wall with art pictures on it.,Un homme est assis devant un mur où se trouvent des œuvres d'art.
7372,"Two redheaded boys with glasses stand on bench, play swordfight with sticks.","Deux garçons roux à lunettes sont debout sur un banc, faisant un combat à l'épée avec des bâtons."
7373,A girl in a colorful hat has a strange creature resting on her hand.,Une jeune fille avec un chapeau multicolore a une étrange créature se reposant sur sa main.
7374,A little gray dog jumps over a small hurdle.,Un petit chien gris saute par-dessus un petit obstacle.
7375,A man is standing on top of a glacier.,Un homme se tient debout au sommet d'un glacier.
7376,A rider on a horse in front of a mountain range,Un cavalier sur un cheval devant une chaîne de montagnes
7377,A group of people in a bicycle race.,Un groupe de personnes dans une course cycliste.
7378,A man in a pink shirt rides a bucking horse.,Un homme en T-shirt rose monte un cheval de rodéo.
7379,A bull rider riding a bucking bull while other cowboys watch and wait to help him if needed.,Un cavalier chevauchant un taureau de rodéo tandis que d'autres cow-boys regardent et attendent pour l'aider si nécessaire.
7380,A kid is sliding down a green slide.,Un gamin glisse sur un toboggan vert.
7381,Kid in jean shorts uses a skateboard to jump over a cameraman while other skateboarders and cameramen watches.,Un gamin en short en jean utilise un skateboard pour sauter par-dessus un photographe tandis que d'autres skateurs et photographes regardent.
7382,Two tall black dogs run through tall grass.,Deux gros chiens noirs courent dans les hautes herbes.
7383,The woman is wearing a black hat with an American flag on it.,La femme porte un béret noir avec un drapeau américain dessus.
7384,A woman walking into the waves.,Une femme marchant dans les vagues.
7385,A person in shorts is holding a Frisbee while team member in red shirts and spectators look on.,Une personne en short tient un frisbee tandis que des membres de l'équipe en T-shirts rouges et des spectateurs regardent.
7386,A young adult in a black shirt is sticking his hand in an animal trap.,Un jeune adulte en T-shirt noir enfonce sa main dans un piège à animaux.
7387,One man in an arena trying to stay on a horse for as long as he can.,Un homme dans une arène essayant de rester sur un cheval aussi longtemps qu'il le peut.
7388,A man with a Mohawk smiles at the camera.,Un homme avec une crête iroquoise sourit à l'objectif.
7389,"Several dogs are running outside, with two vehicles in the background.","Plusieurs chiens courent dehors, avec deux véhicules en arrière-plan."
7390,"Three barking, howling dogs",Trois chiens aboyant et hurlant
7391,A brown dog in midair with a Frisbee in his mouth.,Un chien brun en l'air avec un frisbee dans sa gueule.
7392,A man spraying a super soaker into the mouth of a dog.,Un homme pulvérisant un Super Soaker dans la gueule d'un chien.
7393,Barefoot people standing in water in front of a large piece of art featuring a face.,Des gens pieds nus debout dans l'eau devant une grande œuvre d'art représentant un visage.
7394,A woman balancing a sword on her head.,Une femme tenant en équilibre une épée sur sa tête.
7395,A black and white dog leaping through the air as two people watch in the background.,Un chien noir et blanc sautant en l'air tandis que deux personnes regardent en arrière-plan.
7396,A man in a coca cola building wiping down a table.,Un homme dans un bâtiment Coca Cola essuyant une table.
7397,A girl basketball player wearing blue is blocking another girl player wearing yellow.,Une joueuse de basket vêtue de bleu contre une autre joueuse vêtue de jaune.
7398,Man standing on the edge of rocks near an ocean.,Un homme debout sur le bord des rochers près d'un océan.
7399,Two people are scuba diving in the blue ocean.,Deux personnes font de la plongée sous-marine dans le bleu de l'océan.
7400,Two boys look through a window at an airport.,Deux garçons regardent à travers une vitre dans un aéroport.
7401,Two small children playing in a kiddie pool with water guns.,Deux petits enfants jouant dans une piscine pour enfants avec des pistolets à eau.
7402,"A large, towering city statue at night.","Une grande, immense statue en ville la nuit."
7403,The woman is splashing water out of a bucket.,La femme fait jaillir de l'eau d'un seau.
7404,Man in a blue shirt and white hat cleaning a fountain.,Un homme en chemise bleue et chapeau blanc nettoyant une fontaine.
7405,A man wearing a black coat and red hat holds a camera.,Un homme vêtu d'un manteau noir et d'un bonnet rouge tient un appareil photo.
7406,A man in a white shirt is kissing a little boy as he holds him.,Un homme en chemise blanche embrasse un petit garçon tandis qu'il le tient.
7407,A large van drives down a counry road in the fall.,Un grand monospace roule sur une route de campagne en automne.
7408,A marching band in full uniform is coming down the street.,Une fanfare en uniforme descend la rue.
7409,A kid in a white shirt is in a tall tree.,Un enfant en T-shirt blanc est dans un grand arbre.
7410,A little girl holding an ice cream cone and licking her lips.,Une petite fille tenant un cône de glace et se léchant les lèvres.
7411,A woman wraps her arms around a man as he leans in to kiss her.,Une femme enroule ses bras autour d'un homme tandis qu'il se penche pour l'embrasser.
7412,A man in waders fishes for something in a pool.,Un homme en bottes de pêcheur pêche quelque chose dans une piscine.
7413,"A woman has two children to take care of while she is out, one is sitting on her shoulders and the other is sitting on her lap.","Une femme doit s'occuper de deux enfants tandis qu'elle est dehors, l'un assis sur ses épaules et l'autre assis sur ses genoux."
7414,A blond woman in black jeans is sitting on a wall examining her nails.,"Une femme blonde en jean noir est assise sur un mur, examinant ses ongles."
7415,"The woman is holding a mug, and has sunglasses on the top of her head.","La femme tient une tasse, et a des lunettes de soleil sur le dessus de la tête."
7416,A male taking a nap on a hot afternoon.,Un homme faisant une sieste par une chaude après-midi.
7417,On the ocean side a girl is jogging in yellow pants and a boy riding his bicycle.,"Au bord de l'océan, une fille court en pantalon jaune et un garçon fait du vélo."
7418,Four children playing around a pole.,Quatre enfants jouant autour d'un poteau.
7419,A black and white dog playing with a white ball in a sparse brown field.,Un chien noir et blanc jouant avec un ballon blanc dans un champ brun clairsemé.
7420,A white dog runs on the beach.,Un chien blanc court sur la plage.
7421,Two dogs are playing and wrestling with each other.,Deux chiens jouent et se battent entre eux.
7422,Young boy with glasses playing in the sprinkler.,Un jeune garçon à lunettes jouant avec un arroseur automatique.
7423,A group of women walk down a street at night.,Un groupe de femmes marchent dans une rue la nuit.
7424,A man looks at a sculpture in a large empty room.,Un homme regarde une sculpture dans une grande salle vide.
7425,A man with a shaved head and sunglasses smiles broadly.,Un homme avec le crâne rasé et des lunettes de soleil fait un large sourire.
7426,A girl in a white dress and red bag talking on the phone.,Une fille avec une robe blanche et un sac rouge parlant au téléphone.
7427,A young girl and a young man playing a toss game at an outside party.,Une jeune fille et un jeune homme jouant à un jeu de lancer lors d'une fête en extérieur.
7428,A red-haired boy wearing glasses blowing a huge bubble,Un garçon roux portant des lunettes fait une énorme bulle
7429,"Young man with a black shirt on, riding a blue bike with a baby sitting in front of him.","Un jeune homme avec un T-shirt noir, sur un vélo bleu avec un enfant assis devant lui."
7430,A man is balancing a plate of food on his head.,Un homme tenant en équilibre un plat de nourriture sur sa tête.
7431,A chef cooking some food while two people watch.,Un chef cuisinant des aliments tandis que deux personnes regardent.
7432,People stand on boat dock waiting for their boat to arrive.,Des gens debout sur un quai attendant que leur bateau arrive.
7433,A man carrying an orange bag walks past two British style telephone boxes.,Un homme portant un sac orange marche devant deux cabines téléphoniques de style britannique.
7434,Two children fight in a square while people look on.,Deux enfants se battent sur une place tandis que des gens regardent.
7435,A crowd gathers to watch two men performing a Brazilian dance.,Une foule se rassemble pour regarder deux hommes effectuant une danse brésilienne.
7436,Several children standing in front of a building.,Plusieurs enfants debout devant un bâtiment.
7437,A varied group of individuals sit on a lawn in the summer.,Un groupe mixte d'individus sont assis sur une pelouse en été.
7438,A shirtless man goes for a ride on his skateboard while walking his dog.,Un homme torse nu se balade en skateboard tout en promenant son chien.
7439,A furry dog is jumping over a hurdle.,Un chien poilu sautant par-dessus un obstacle.
7440,A boy with a Mohawk and sunglasses.,Un garçon avec une crête iroquoise et des lunettes de soleil.
7441,A man and woman wearing sunglasses and white t-shirts smile for the camera.,Un homme et une femme portant des lunettes de soleil et des t-shirts blancs sourient pour la photo.
7442,A young boy taking a bath from a bucket.,Un jeune garçon prenant un bain avec un seau.
7443,A man with long hair tied back and wearing a blue shirt is playing a clarinet.,Un homme avec de longs cheveux attachés et une chemise bleue joue de la clarinette.
7444,A shirtless man sitting on a rock by a blue building.,Un homme torse nu assis sur un rocher près d'un bâtiment bleu.
7445,The two boys play in the field.,Les deux garçons jouent sur le terrain.
7446,Two people are laying in a bed in the middle of a department store aisle.,Deux personnes sont allongées dans un lit au centre d'une allée de grand magasin.
7447,"Two people, with buildings behind them, are standing near a blue car with two doors open.","Deux personnes, avec des bâtiments derrière eux, se trouvent près d'une voiture bleue avec deux portes ouvertes."
7448,A German short-haired pointer rests on a rug by a sunny window.,Un Braque allemand à poil court se repose sur un tapis à travers une fenêtre ensoleillée.
7449,"Two large, black dogs are playing with a collapsed ball.",Deux gros chiens noirs jouent avec un ballon crevé.
7450,A little boy is jumping into the kiddie pool in the backyard.,Un petit garçon saute dans la piscine pour enfants dans la cour.
7451,A child in a bathing suit plays in a sprinkler.,Un enfant en maillot de bain joue dans un sprinkler.
7452,A white dog runs towards the camera as a man walks away.,Un chien blanc court vers l'objectif tandis qu'un homme s'éloigne.
7453,Worker dragging a rope attached to what seems to be a boat.,Un ouvrier tirant une corde attachée à ce qui semble être un bateau.
7454,A lady with blond-hair helping another person.,Une femme aux cheveux blonds aidant une autre personne.
7455,Three dark-haired people stand near each other with large buildings in the background.,Trois personnes aux cheveux foncés se tiennent les unes à côté des autres avec de grands bâtiments en arrière-plan.
7456,I am going to a hotdog competition in Coney Island.,Je vais à une compétition de hot-dog à Coney Island.
7457,A group of bulls are running down a street as people run and others watch.,Un groupe de taureaux courent dans une rue tandis que des gens courent et d'autres regardent.
7458,A girl wearing sunglasses smiles for the camera.,Une fille portant des lunettes de soleil sourit pour la photo.
7459,A guy doing tricks on a motorcycle.,Un gars faisant des acrobaties sur une moto.
7460,A motorcycle rider stands on top of his bike.,Un motard se tient debout sur sa moto.
7461,A young boy is in the water at the beach.,Un jeune garçon est dans l'eau à la plage.
7462,Two teenagers at the beach playing in the sand,Deux adolescents à la plage jouant dans le sable
7463,A young Asian man and woman seated in front of the steps of a small business smoking cigarettes.,"Un jeune homme et une jeune femme asiatiques assis devant les marches d'une petite entreprise, fumant des cigarettes."
7464,Two young boys play with a puzzle in a classroom.,Deux jeunes garçons jouent avec un puzzle dans une salle de classe.
7465,One football player caught a pass while the two players from the opposite team attempt to tag him while he's on the ground.,Un joueur de football américain a réceptionné une passe tandis que les deux joueurs de l'équipe adverse tentent de le toucher alors qu'il est au sol.
7466,A group of Caucasian people lounging in a sandy area.,Un groupe de personnes blanches flânant sur une plage.
7467,A young man jumps into the water from a floating slide.,Un jeune homme saute d'un toboggan flottant dans l'eau .
7468,"Two women, picking from plants in an open valley.","Deux femmes, cueillant des plantes dans une vallée."
7469,A black dog with a ribbon on is standing in front of some other award ribbons.,Un chien noir avec un ruban se trouve devant d'autres rubans de récompense.
7470,A man taking pictures using his zoom lenses.,Un homme prenant des photos en utilisant son zoom.
7471,A little girl with ponytails laughs near a plastic castle play set.,Une petite fille avec des couettes rit près d'un château en plastique pour enfants.
7472,The rider throws his hand up for balance as the brown horse bucks.,Le cavalier lève sa main en l'air pour garder l'équilibre tandis que le cheval brun fait une ruade.
7473,"A guy in a Nike shirt that reads ""MAKE SOME NOISE"" tilts his head sideways as he eats.","Un gars en T-shirt Nike où est écrit ""FAITES DU BRUIT"" penche sa tête sur le côté tandis qu'il mange."
7474,A man in short shorts is posing on a large rock.,Un homme en short court pose sur un gros rocher.
7475,This woman is wearing a white t-shirt and holding a cup.,Cette femme porte un T-shirt blanc et tient une tasse.
7476,A group of men are walking between railroad tracks.,Un groupe d'hommes marchent entre des voies ferrées.
7477,A group of dressed up people looking at a brochure trying to decide what site to see next.,"Un groupe de gens bien habillés regardant une brochure, essayant de décider quel site aller voir ensuite."
7478,A man with a bandage on his finger is rock climbing as others watch.,Un homme avec le doigt bandé fait de l'escalade tandis que d'autres regardent.
7479,A group of children sit on the floor against a brick wall while a woman observes them.,Un groupe d'enfants assis par terre contre un mur de brique tandis qu'une femme les observe.
7480,An older man sitting at a lighted workbench.,Un homme âgé assis à une table de travail éclairée.
7481,A smiling woman in a bikini in the air over a diving board.,Une femme souriante vêtue d'un bikini en l'air au-dessus d'un plongeoir.
7482,A man prepares to hit a backhand tennis shot.,Un homme se prépare à frapper un revers.
7483,Two small boys with painted faces are sitting next to each other.,Deux petits garçons avec des visages peints sont assis l'un à côté de l'autre.
7484,A group of girls on a beach.,Un groupe de filles sur une plage.
7485,"Two young girls, one blond and the other brunette, jump on a green couch in a bright, sun drenched room.","Deux jeunes filles, l'une blonde et l'autre brune, sautent sur un canapé vert dans une pièce lumineuse et ensoleillée."
7486,A man in a red shirt plays tennis outdoors.,Un homme portant un T-shirt rouge joue au tennis en extérieur.
7487,"Man in mid stride suspended in air, about to swing a tennis racket on a tennis court.","Un homme en plein mouvement suspendu en l'air, s'apprêtant à faire basculer sa raquette sur un court de tennis."
7488,A musician on the curb side displaying his talent publicly.,Un musicien en bordure de trottoir affichant publiquement son talent.
7489,A man in a blue shirt is read a piece of paper.,Un homme en chemise bleue lit une feuille de papier.
7490,A man in an apron smiling as he fries food.,Un homme en tablier souriant tandis qu'il fait frire des aliments.
7491,Two women sit by some rocks while one of them holds a drink.,Deux femmes sont assises près de rochers tandis que l'une d'elles tient un verre.
7492,A woman walking with a blue umbrella.,Une femme marchant avec un parapluie bleu.
7493,"A young man is standing on an escalator with a camera in his hands, looking blankly into the photo.","Un jeune homme est debout sur un escalator avec un appareil photo dans les mains, regardant l'objectif avec des yeux inexpressifs."
7494,A smiling little boy jumps up to a toy basketball hoop.,Un petit garçon souriant saute jusqu'à un panier de basket en jouet.
7495,Two young girls in dresses stand together in front of a yellow wall.,Deux jeunes filles en robes se tiennent ensemble devant un mur jaune.
7496,A baseball player hitting a ball.,Un joueur de baseball frappant une balle.
7497,A brown dog and a black dog are playing tug-of-war with a toy.,Un chien brun et un chien noir jouent au tir à la corde avec un jouet.
7498,This girl is plucking the flower from the plant.,Cette fille cueille la fleur de la plante.
7499,"A group of people are standing at the front of the room, preparing to sing.","Un groupe de personnes sont debout à l'avant de la pièce, s'apprêtant à chanter."
7500,A few guys dancing a ceremonial dance in a parade,Quelques gars effectuant une danse rituelle lors d'un défilé
7501,A very happy baby in a yellow shirt swinging on swing.,Un bébé très heureux en T-shirt jaune faisant de la balançoire.
7502,A woman with a special type of bike looking at a baby.,"Une femme avec un type de vélo particulier, regardant un bébé."
7503,A girl in a bikini running out of the surf.,Une fille en bikini courant dans l'écume.
7504,The woman in the tank top has a tattoo on her arm.,La femme en débardeur a un tatouage sur son bras.
7505,Mike Holmgren on the field with his team the Seattle Seahawkss talking over practice details with an assistant coach.,"Mike Holmgren sur le terrain avec son équipe des Seattle Seahawks, parlant de méthode d'entraînement avec un entraîneur adjoint."
7506,People jumping off of a very tall bridge into the water below.,Des gens sautant d'un pont très haut dans l'eau en dessous.
7507,An older man raises his wineglass during an outdoor meal with others.,Un homme âgé lève son verre de vin pendant un repas en plein air avec d'autres personnes.
7508,A woman in a red dress is looking out of a window.,Une femme en robe rouge regarde par une fenêtre.
7509,"Two little boys playing a game, one with his mouth wide open.","Deux petits garçons jouant à un jeu, l'un avec sa bouche grande ouverte."
7510,A coach wearing a blue shirt points off-camera.,Un entraîneur vêtu d'un polo bleu montre quelque chose hors caméra.
7511,A man in a dog outfit is playing at a card table with a bemused woman and dealer.,Un homme en costume de chien joue à une table de jeu avec une femme perplexe et un croupier.
7512,A little boy is chasing pigeons on the street and a man is watching him.,Un petit garçon poursuit des pigeons dans la rue et un homme le regarde.
7513,A man and a woman are seen kissing near an open window.,Un homme et une femme sont vus en train de s'embrasser près d'une fenêtre ouverte.
7514,A group of women hugging each other,Un groupe de femmes s'étreignant mutuellement
7515,A white dog catching a treat in his mouth.,Un chien blanc attrapant une friandise dans sa gueule.
7516,A man sitting on a railing at a concert.,Un homme assis sur une balustrade lors d'un concert.
7517,A lot of people are gathered in different areas of an old building.,De nombreuses personnes sont rassemblées en différents endroits d'un ancien bâtiment.
7518,A mature woman in sunglasses and a jean jacket.,Une femme mûre avec des lunettes de soleil et une veste en jean.
7519,A man is paddling a boat while four women are standing on a rock in a body of water,Un homme fait du pédalo tandis que quatre femmes sont debout sur un rocher dans un plan d'eau
7520,A boy hangs upside down from a metal bar.,Un garçon est suspendu la tête en bas sur une barre métallique.
7521,A black and a brown dog running in the grass.,Un chien noir et un chien marron courant dans l'herbe.
7522,Two boys are playing with two dogs on the beach.,Deux garçons jouent avec deux chiens sur la plage.
7523,A young woman with a blue Mohawk looks to the right while holding a toddler's hand who is looking to the left.,Une jeune femme avec une crête iroquoise bleue regarde à droite tout en tenant la main d'un enfant qui regarde à gauche.
7524,A young girl in a swimsuit riding a toy train.,Une jeune fille en maillot de bain chevauchant un train en jouet.
7525,Four girls prepare food on a table outdoors.,Quatre filles préparent des aliments sur une table dehors.
7526,A man jumps in front of a palace in China.,Un homme saute devant un palais en Chine.
7527,A black and white dog is running in the grass.,Un chien noir et blanc court dans l'herbe.
7528,One man looks into the distance next to another who has his hand in the air.,Un homme regarde au loin à côté d'un autre qui a sa main en l'air.
7529,The mother with two son are swimming in the sea.,La mère et ses deux fils nagent dans la mer.
7530,Five children are sitting on a wooden stairway posing for a picture.,"Cinq enfants sont assis sur un escalier en bois, posant pour une photo."
7531,"In the woods, a young man wearing red shorts prepares to throw a frisbee.","Dans la forêt, un jeune homme portant un short rouge se prépare à lancer un frisbee."
7532,Two football players run into each other.,Deux joueurs de football américain courent l'un vers l'autre.
7533,A girl in a pink sundress rides a bike next to a white picket fence.,Une fille en robe d'été rose fait du vélo à côté d'une clôture blanche.
7534,Three police officers conversing rollerblades.,Trois policiers en rollers discutant.
7535,2 Male Camp Counselors relax during afternoon free time for their youth as the director speaks of the upcoming evening activities,"Deux moniteurs de camp se reposent pendant l'après-midi de temps libre pour leurs enfants, tandis que le directeur parle des activités à venir pour la soirée."
7536,A blond child is laying on a branch of a tree in a green field.,Un enfant blond est allongé sur une branche d'un arbre dans un champ verdoyant.
7537,A woman in a sari next to a boy holding a red umbrella in a rainy street,Une femme en sari à côté d'un garçon tenant un parapluie rouge dans une rue humide
7538,Two men are applying ceramic tile to an old roof.,Deux hommes posent des tuiles en céramique sur un vieux toit.
7539,A dog stands on its hind legs in a wooded area while another dog watches.,Un chien se tient sur ses pattes arrières dans un espace boisé tandis qu'un autre chien regarde.
7540,The black dog is wearing a lime green collar.,Le chien noir porte un collier vert citron.
7541,Three men in vests sitting down near a pile of dirt with their backs facing a wall.,Trois hommes en gilets assis près d'un tas de gravats avec leurs dos face à un mur.
7542,The young man is waiting with others on the sidewalk.,Le jeune homme attend avec d'autres sur le trottoir.
7543,A young teenage boy is smoking a cigarette in front of an iron fence.,Un jeune adolescent fume une cigarette devant une clôture en fer.
7544,People talking in an asian market.,Des gens parlant sur un marché asiatique.
7545,A child with a water gun being sprayed with water.,Un enfant avec un pistolet à eau est aspergé d'eau.
7546,Four performers are on stage interacting with the audience.,"Quatre artistes sont sur scène, en interaction avec le public."
7547,A blond girl is sitting drinking a soda and looking at a dolphin swimming in the background.,"Une fille blonde est assise, buvant un soda et regardant un dauphin nager en arrière-plan."
7548,A woman in red shirt is singing.,Une femme en T-shirt rouge chante.
7549,A man walking down the walkway of a bunch of storefronts.,Un homme descendant une allée avec de nombreuses devantures.
7550,Two large dogs running in some grass.,Deux gros chiens courant dans l'herbe.
7551,A man in a cap is trimming a plant outdoors.,Un homme avec une casquette taille une plante dehors.
7552,A long-haired man in front of microphones holding some kind of musical instruments.,"Un homme aux cheveux longs devant des micros, tenant une espèce d'instrument de musique."
7553,A man with slicked back hair and black coat plays a recorder.,Un homme avec les cheveux lissés en arrière et une veste noire joue de la flûte à bec.
7554,A young woman is painting a guard rail.,Une jeune femme peint un rail de sécurité.
7555,A group of people pose for a picture by a metal guard rail.,Un groupe de personnes posent pour une photo à côté d'une glissière métallique.
7556,A man planting some flowers around a pole outside.,Un homme plantant quelques fleurs autour d'un poteau dehors.
7557,A man and woman dig up dirt and have a plant near them.,Un homme et une femme creusent dans la terre et ont une plante près d'eux.
7558,People sitting in chairs with a row flags hanging over them.,Des gens assis sur des chaises avec une rangée de drapeaux pendant au dessus d'eux.
7559,The number of young children are significantly more than the adults in the dinning hall.,Le nombre de jeunes enfants est clairement plus élevé que le nombre d'adultes dans la salle à manger.
7560,Woman facing curtained window and glass cleaner while holding a paper towel.,"Une femme devant une fenêtre à rideau et un nettoyant pour vitres, tout en tenant un essuie-tout."
7561,Woman in a blue dress with a purple umbrella standing in the road.,Une femme en robe bleue avec un parapluie violet debout sur la chaussée.
7562,A baseball player slides toward a base.,Un joueur de baseball glisse vers une base.
7563,A young girl is sitting in front of an exhibit at an aquarium as a dolphin swims past.,"Une jeune fille est assise devant une vitre d'exposition dans un aquarium, tandis qu'un dauphin passe en nageant."
7564,A woman stands on the curb next to a busy street.,Une femme se tient sur le bord du trottoir à côté d'une rue très fréquentée.
7565,A man is using a pro-saw to fix the street.,Un homme utilise un Pro-Saw pour réparer la rue.
7566,A crowd watches an outdoor concert.,Une foule regarde un concert en plein air.
7567,A woman walking in front of a truck talking to someone that is walking beside her.,"Une femme marchant devant un camion, parlant à quelqu'un qui marche à côté d'elle."
7568,Three young people planting flowers and covering the area with a tarp.,Trois jeunes plantant des fleurs et couvrant la zone avec une toile.
7569,People planting flowers outside in a circle.,Des gens plantant des fleurs dehors dans un cercle.
7570,Two people in red shirts clean an alley.,Deux personnes en T-shirts rouges nettoient une ruelle.
7571,A woman smiles at a baby while an older couple looks on.,Une femme sourit à un bébé tandis qu'un vieux couple regarde.
7572,Young children shoot baskets in the field.,De jeunes enfants prennent des shoots sur le terrain.
7573,A man sitting in a green chair in front of a large window looking out onto a cityscape.,"Un homme assis dans un fauteuil vert devant une grande fenêtre, regardant vers un paysage urbain."
7574,People are in a restaurant eating.,Des gens sont dans un restaurant en train de manger.
7575,The sun shines bright on the snow surrounding a few people.,"Le soleil brille de façon éclatante sur la neige, entourant quelques personnes."
7576,A young man is wearing a brown hat and sunglasses.,Un jeune homme porte un chapeau marron et des lunettes de soleil.
7577,Woman in red shirt and hot looks at trinkets at a table.,Une femme avec un T-shirt rouge et un chapeau regarde des bibelots sur une table.
7578,A crowd is watching a band perform on the sidewalk.,Une foule regarde un groupe qui joue sur le trottoir.
7579,Four people in bright blue water with a child in a pink inter tube.,Quatre personnes dans l'eau bleue brillante avec un enfant dans une bouée rose.
7580,Several people stopped waiting for a train to pass.,"Plusieurs personnes sont arrêtées, attendant qu'un train passe."
7581,A group of greyhound dogs runs around a dirt track.,Un groupe de lévriers tournent autour d'une piste en terre.
7582,A boy in a yellow shirt running by some birds.,Un garçon en T-shirt jaune courant après quelques oiseaux.
7583,A man is pulling a load of dirt down a narrow alley where a motorcycle is parked.,Un homme tire un chargement de détritus dans une ruelle sombre où une moto est garée.
7584,A curious child attempting to fish what nature flushed ashore with a beautiful ocean background.,"Un enfant curieux tentant de pêcher ce que la nature a jeté à terre, avec un magnifique arrière-plan de l'océan."
7585,A man riding an orange and white motorcycle.,Un homme chevauchant une moto orange et blanche.
7586,The blond-haired woman is holding a black umbrella.,La femme blonde tient un parapluie noir.
7587,A woman with a cane carrying a bag walks along the sidewalk.,Une femme avec une canne et un sac marche le long du trottoir.
7588,A young indian mother is with her child.,Une jeune mère indienne est avec son enfant.
7589,"A group of workers on a boardwalk wearing fluorescent vests, holding light wands.","Un groupe d'ouvriers sur une promenade avec des gilets fluorescents, tenant des luminaires."
7590,A group of people getting ready for climbing a mountain.,Un groupe de personnes se préparant à gravir une montagne.
7591,A small dog is playing with a plastic bag on the sidewalk.,Un petit chien joue avec un sac en plastique sur le trottoir.
7592,A small dog jumps over a yellow beam.,Un petit chien saute par-dessus une poutre jaune.
7593,A man holding a little girl up in the air outside.,Un homme tenant une petite fille en l'air dehors.
7594,People use the computer terminals at a modern library.,Des gens utilisent des ordinateurs dans une bibliothèque moderne.
7595,3 men are playing and riding on a vehicle made of musical instruments including a drum and a piano.,"Trois hommes jouent et sont dans un véhicule fait d'instruments de musique, dont une batterie et un piano."
7596,A man vaults over a high bar.,Un homme saute au-dessus d'une barre haute.
7597,A group of young people pose for a picture in a field,Un groupe de jeunes posent pour une photo dans un champ
7598,Man in board shorts is playing beach volleyball.,Un homme en short de bain fait du beach volley.
7599,A young girl is hoping from stone to stone in her bare feet.,Une jeune fille pieds nus saute de pierre en pierre.
7600,These girls are having a great time looking for seashells.,Ces filles s'amusent beaucoup à chercher des coquillages.
7601,Two people in a dense jungle area with trees and grass everywhere.,Deux personnes dans une jungle dense avec des arbres et de l'herbe partout.
7602,The man in the apron prepares the dining table.,Un homme en tablier prépare la table.
7603,A little boy spays a hose at his brother who is on the other side of a window.,Un petit garçon arrose avec un tuyau son frère qui est de l'autre côté de la fenêtre.
7604,Dogs racing around a curve in the track.,Des chiens courant dans un virage sur la piste.
7605,Several preschool children stand looking through fence bars as two adults look on.,"Plusieurs enfants d'école maternelle sont debout, regardant à travers les barreaux d'une clôture tandis que deux adultes regardent."
7606,A middle-aged man shines black leather shoes.,Un homme d'âge moyen brosse des chaussures en cuir noir.
7607,A couch sits broken while a man sits a table behind them.,Un canapé cassé est posé pendant qu'un homme est assis à une table derrière.
7608,A group of people stand listening to a speaker.,Un groupe de personnes debout écoutant un conférencier.
7609,A barefoot child is walking on the beach towards the ocean.,Un enfant pieds nus marchant sur la plage vers l'océan.
7610,Four dogs splashing in the water,Quatre chiens s'éclaboussant dans l'eau
7611,A man in a striped shirt poses with a blond girl in a black apron.,Un homme en chemise rayée pose avec une fille blonde en tablier noir.
7612,A dog chasing a Frisbee into the water,Un chien courant après un frisbee dans l'eau
7613,"A guy drinking from a big silver cup, content of which is unknown.","Un gars buvant dans un grand gobelet argenté, dont le contenu est inconnu."
7614,A little girl in a pink dress is walking outside.,Une petite fille en robe rose marche dehors.
7615,An Asian man holding a large number of bags looks across a street.,Un homme asiatique tenant un grand nombre de sacs regarde de l'autre côté de la rue.
7616,A woman with a white top with design on the front cleaning the white railing.,"Une femme portant un haut blanc avec un dessin sur le devant, en train de nettoyer une balustrade blanche."
